,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
0,1066.0778,0.87152,0.48671,3.918,635.078,5.105,5.205,2.169,5.396,3.489,3.716,0.673,0.805,0.614,0.565,0.496,112.80644,0.0005
1,992.489389,0.68483,0.43333,3.323,564.728,4.815,5.028,2.086,5.006,3.296,3.555,0.779,0.858,0.669,0.617,0.549,113.48978,0.0005
2,1080.82745,0.64264,0.39343,2.954,497.208,4.69,4.876,1.919,4.062,3.221,3.463,0.819,0.883,0.736,0.639,0.585,98.72717,0.0005
3,1156.365006,0.62034,0.37753,2.828,496.621,4.652,4.729,1.855,3.329,3.241,3.374,0.831,0.883,0.798,0.641,0.609,119.15578,0.0005
4,1101.754474,0.60426,0.36266,2.727,475.57,4.509,4.641,1.842,3.107,3.094,3.299,0.847,0.894,0.831,0.671,0.628,124.38692,0.0005
5,992.217092,0.5899,0.36159,2.838,483.056,4.456,4.555,1.865,3.133,3.074,3.223,0.841,0.892,0.838,0.677,0.649,86.25166,0.0005
6,722.41228,0.57872,0.34744,2.594,452.849,4.426,4.511,1.828,2.702,3.059,3.203,0.861,0.904,0.868,0.682,0.655,85.64815,0.0005
7,720.13616,0.56618,0.34471,2.598,457.115,4.349,4.514,1.836,2.631,3.022,3.217,0.862,0.904,0.876,0.692,0.652,83.74298,0.0005
8,713.290848,0.55704,0.34146,2.578,445.166,4.303,4.427,1.816,2.927,2.963,3.137,0.867,0.909,0.861,0.703,0.673,84.09816,0.0005
9,727.35461,0.54585,0.33477,2.526,432.845,4.277,4.42,1.797,2.467,2.941,3.143,0.872,0.913,0.89,0.709,0.672,83.87277,0.0005
10,746.240893,0.53601,0.32702,2.415,420.415,4.233,4.325,1.801,2.355,2.922,3.053,0.881,0.918,0.899,0.714,0.693,131.04099,0.0005
11,1157.59087,0.52645,0.32561,2.383,424.857,4.207,4.31,1.789,2.309,2.893,3.035,0.885,0.917,0.904,0.721,0.697,146.61743,0.0005
12,927.012737,0.51588,0.32566,2.381,417.162,4.174,4.285,1.787,2.431,2.876,3.018,0.884,0.919,0.898,0.724,0.701,96.51884,0.0005
13,796.847742,0.50625,0.32196,2.299,412.403,4.172,4.234,1.784,2.33,2.888,2.985,0.892,0.921,0.899,0.72,0.708,89.62244,0.0005
14,774.827582,0.49633,0.32309,2.363,418.026,4.202,4.211,1.769,2.594,2.936,3.01,0.885,0.918,0.876,0.712,0.705,96.69081,0.0005
15,779.294588,0.48705,0.32561,2.303,412.191,4.189,4.331,1.779,2.306,2.883,3.071,0.891,0.921,0.902,0.722,0.688,87.69462,0.0005
16,781.666696,0.47999,0.31336,2.273,392.903,4.114,4.126,1.77,2.271,2.833,2.914,0.894,0.928,0.905,0.734,0.725,88.57795,0.0005
17,826.435238,0.46589,0.31305,2.288,398.703,4.094,4.053,1.764,2.192,2.821,2.871,0.892,0.926,0.912,0.736,0.737,86.98113,0.0005
18,757.104574,0.45531,0.31565,2.214,396.209,4.099,4.091,1.767,2.136,2.814,2.89,0.9,0.928,0.916,0.737,0.73,85.22547,0.0005
19,722.38921,0.44409,0.30998,2.236,384.968,4.079,3.984,1.761,2.377,2.801,2.84,0.898,0.931,0.895,0.741,0.741,85.21141,0.0005
20,717.02232,0.43287,0.30333,2.194,366.224,4.054,3.981,1.761,2.123,2.796,2.822,0.902,0.938,0.919,0.742,0.747,84.17836,0.0005
21,718.234311,0.42249,0.30474,2.189,352.989,4.01,3.916,1.764,2.121,2.749,2.79,0.904,0.943,0.919,0.752,0.755,82.70252,0.0005
22,718.600841,0.41045,0.29983,2.224,348.952,3.981,3.965,1.763,2.212,2.737,2.825,0.899,0.944,0.91,0.754,0.744,83.87633,0.0005
23,733.92259,0.40145,0.30724,2.22,370.66,3.966,3.974,1.766,2.18,2.754,2.866,0.903,0.938,0.913,0.753,0.738,84.93843,0.0005
24,721.242337,0.38891,0.30063,2.129,364.204,3.918,3.858,1.753,2.027,2.69,2.736,0.908,0.94,0.925,0.763,0.762,84.52566,0.0005
25,719.069915,0.37488,0.28769,2.081,315.269,3.852,3.789,1.751,2.014,2.637,2.698,0.912,0.955,0.927,0.774,0.77,83.26032,0.0005
26,722.606628,0.36387,0.28662,2.068,309.281,3.861,3.759,1.755,2.016,2.627,2.695,0.915,0.958,0.926,0.778,0.776,85.43215,0.0005
27,718.343885,0.35121,0.28636,2.077,315.559,3.741,3.703,1.749,2.271,2.564,2.649,0.913,0.955,0.906,0.788,0.78,83.53527,0.0005
28,716.247217,0.34038,0.28255,2.079,306.023,3.726,3.712,1.763,2.002,2.557,2.658,0.914,0.958,0.928,0.79,0.778,83.12244,0.0005
29,724.36702,0.32697,0.27777,2.133,291.685,3.68,3.654,1.752,2.131,2.52,2.607,0.91,0.961,0.917,0.796,0.787,84.24159,0.0005
30,720.829273,0.31679,0.27016,1.993,277.441,3.641,3.581,1.743,1.984,2.487,2.556,0.92,0.966,0.93,0.802,0.796,84.25742,0.0005
31,764.937688,0.30603,0.27259,2.022,289.902,3.66,3.634,1.735,1.955,2.514,2.573,0.919,0.962,0.931,0.797,0.793,99.04158,0.0005
32,844.839075,0.29617,0.26258,1.958,258.785,3.575,3.515,1.725,1.919,2.461,2.498,0.923,0.97,0.934,0.807,0.807,103.30211,0.0005
33,831.344412,0.28534,0.26575,1.954,270.348,3.533,3.504,1.724,2.075,2.429,2.478,0.923,0.967,0.922,0.812,0.81,98.04711,0.0005
34,836.69313,0.27657,0.2606,1.901,266.45,3.49,3.438,1.715,1.868,2.383,2.425,0.928,0.969,0.937,0.82,0.819,98.24238,0.0005
35,841.577146,0.26651,0.25533,2.04,254.657,3.452,3.422,1.715,1.899,2.365,2.414,0.919,0.971,0.935,0.823,0.821,99.19623,0.0005
36,835.627031,0.25636,0.25692,1.976,250.353,3.431,3.403,1.695,2.167,2.345,2.408,0.922,0.972,0.914,0.826,0.823,98.83511,0.0005
37,822.649784,0.25012,0.25788,1.937,268.481,3.406,3.392,1.69,2.01,2.324,2.39,0.925,0.968,0.927,0.829,0.825,99.19048,0.0005
38,832.610458,0.24433,0.24988,1.844,245.828,3.361,3.292,1.682,1.863,2.275,2.323,0.932,0.973,0.938,0.838,0.836,97.08006,0.0005
39,725.355443,0.23626,0.24312,1.828,226.559,3.305,3.274,1.674,1.85,2.246,2.296,0.934,0.977,0.938,0.842,0.84,85.71822,0.0005
40,708.319472,0.23087,0.24043,1.852,221.228,3.302,3.257,1.671,1.822,2.242,2.278,0.933,0.978,0.941,0.843,0.843,83.32111,0.0005
41,713.581191,0.22529,0.23951,1.814,220.47,3.308,3.26,1.659,1.769,2.245,2.28,0.936,0.978,0.944,0.842,0.842,83.50559,0.0005
42,708.421426,0.21996,0.23699,1.792,216.046,3.258,3.204,1.646,1.868,2.205,2.246,0.936,0.979,0.936,0.848,0.848,84.08367,0.0005
43,710.470929,0.21758,0.2348,1.771,206.237,3.28,3.213,1.636,1.819,2.213,2.246,0.938,0.981,0.941,0.847,0.847,82.7694,0.0005
44,705.148305,0.21223,0.23078,1.746,199.682,3.234,3.214,1.627,1.735,2.178,2.239,0.939,0.982,0.946,0.852,0.848,82.81299,0.0005
45,708.950811,0.21005,0.23535,1.766,226.185,3.227,3.222,1.612,1.798,2.182,2.257,0.938,0.977,0.941,0.852,0.847,82.91889,0.0005
46,709.986263,0.20901,0.22998,1.71,204.317,3.21,3.179,1.606,1.697,2.167,2.206,0.942,0.981,0.948,0.854,0.853,82.30068,0.0005
47,713.607176,0.20725,0.22985,1.741,218.011,3.21,3.182,1.619,1.716,2.161,2.2,0.94,0.979,0.947,0.855,0.855,84.97935,0.0005
48,715.135914,0.20719,0.23048,1.751,213.28,3.215,3.201,1.61,1.702,2.162,2.212,0.939,0.981,0.947,0.854,0.852,82.69699,0.0005
49,717.375154,0.20989,0.22602,1.679,199.852,3.199,3.174,1.584,1.734,2.151,2.198,0.944,0.982,0.947,0.856,0.855,82.38998,0.0005
50,712.845934,0.20828,0.22563,1.672,213.071,3.19,3.147,1.589,1.696,2.14,2.167,0.945,0.98,0.949,0.858,0.858,83.75128,0.0005
51,714.425269,0.20896,0.22332,1.66,192.126,3.17,3.137,1.565,1.656,2.132,2.169,0.945,0.984,0.951,0.859,0.859,83.84235,0.0005
52,713.367157,0.21038,0.21977,1.654,187.806,3.149,3.13,1.565,1.678,2.106,2.153,0.946,0.984,0.95,0.862,0.86,82.58125,0.0005
53,712.297938,0.21475,0.21968,1.684,194.326,3.149,3.127,1.547,1.628,2.108,2.154,0.944,0.983,0.953,0.863,0.862,83.43781,0.0005
54,755.84418,0.21664,0.21939,1.623,198.658,3.143,3.132,1.543,1.624,2.092,2.136,0.948,0.982,0.953,0.864,0.863,83.73752,0.0005
55,712.044424,0.22092,0.21568,1.6,183.278,3.124,3.092,1.528,1.616,2.082,2.115,0.95,0.985,0.953,0.866,0.866,83.56834,0.0005
56,712.18485,0.22375,0.2112,1.621,183.447,3.095,3.063,1.515,1.606,2.049,2.097,0.949,0.985,0.954,0.871,0.868,82.877,0.0005
57,743.314648,0.22888,0.21068,1.623,180.319,3.081,3.067,1.509,1.634,2.041,2.089,0.948,0.986,0.953,0.871,0.87,82.16103,0.0005
58,713.200529,0.23358,0.20549,1.563,168.293,3.025,2.99,1.491,1.545,1.99,2.034,0.952,0.987,0.957,0.878,0.877,83.98966,0.0005
59,723.239303,0.23908,0.20974,1.561,183.024,3.048,3.009,1.487,1.695,2.027,2.062,0.952,0.986,0.951,0.875,0.876,83.90233,0.0005
60,711.495834,0.24377,0.20437,1.55,175.614,2.996,2.959,1.474,1.512,1.959,2.01,0.952,0.986,0.959,0.882,0.88,83.38746,0.0005
61,716.201108,0.25117,0.20216,1.524,173.522,2.977,2.954,1.456,1.518,1.956,2.011,0.954,0.987,0.958,0.883,0.88,83.93166,0.0005
